"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","year","yeargroup"
171,"Taj Gibson","PF",29,"CHI",62,1692,16.1,0.545,0,0.364,10.7,14.6,12.7,6.9,1.1,3.2,11.6,17.6,2.7,2.1,4.8,0.137,-0.6,1.1,0.6,1.1,2015,2017
172,"Manu Ginobili","SG",37,"SAS",70,1587,16.2,0.544,0.438,0.346,2,12.8,7.5,28.6,2.2,0.9,18.5,23.9,1.4,2.3,3.7,0.111,1.4,0.3,1.7,1.5,2015,2017
173,"Rudy Gobert","C",22,"UTA",82,2158,21.6,0.627,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7,16.9,14,5,4.3,9.3,0.206,0.7,5.1,5.8,4.3,2015,2017
175,"Archie Goodwin","SG",20,"PHO",41,535,11.2,0.486,0.204,0.413,5.5,9.7,7.6,12.6,1.7,1.3,16.8,23.4,-0.2,0.4,0.2,0.014,-3.3,-1.2,-4.5,-0.3,2015,2017
176,"Aaron Gordon","PF",19,"ORL",47,797,11.4,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.8,0,-2.8,-0.2,2015,2017
179,"Eric Gordon","SG",26,"NOP",61,2018,12.7,0.544,0.454,0.192,1.6,7.4,4.5,17.6,1.3,0.5,14,19.8,2.2,0.7,2.9,0.069,1.4,-2,-0.6,0.7,2015,2017
180,"Marcin Gortat","C",30,"WAS",82,2453,18.2,0.587,0.004,0.226,8.5,24.1,16.5,6.5,1,3.6,10.5,17.6,4.4,4.2,8.6,0.168,-0.4,2.3,1.8,2.4,2015,2017
182,"Jerami Grant","SF",20,"PHI",65,1377,8.7,0.47,0.443,0.548,3.7,12.3,7.8,9.4,1.5,4,16.3,16.5,-0.9,1.4,0.5,0.019,-4.3,1,-3.3,-0.5,2015,2017
183,"Danny Green","SG",27,"SAS",81,2312,16.5,0.596,0.619,0.172,2.7,13.9,8.4,10.3,2.2,2.8,10.5,17.5,4,3.9,7.8,0.163,2.8,2.2,5,4.1,2015,2017
184,"Draymond Green","PF",24,"GSW",79,2490,16.4,0.54,0.43,0.261,5.1,22.4,14,16.1,2.4,2.9,13.5,17.2,3.3,5.2,8.5,0.163,1,4,5,4.4,2015,2017
186,"Gerald Green","SG",29,"PHO",74,1446,15.4,0.532,0.497,0.154,2.5,11.7,7,10.9,1.4,0.6,11.1,28.4,1,1,1.9,0.065,0.8,-3.3,-2.4,-0.2,2015,2017
187,"JaMychal Green","PF",24,"TOT",24,164,14.9,0.603,0.128,0.213,13.3,18,15.7,4,1.6,2.4,21.4,18.3,0.1,0.3,0.4,0.119,-2,-0.1,-2.1,0,2015,2017
188,"Jeff Green","SF",28,"TOT",78,2454,14.4,0.534,0.302,0.297,2.9,12.1,7.5,8.8,1.1,1.1,9,21.9,2.7,2.4,5.2,0.101,0.1,-0.8,-0.7,0.8,2015,2017
190,"Blake Griffin","PF",25,"LAC",67,2356,22.8,0.551,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,6.6,2.4,9,0.183,3.1,1,4.1,3.6,2015,2017
194,"Justin Hamilton","C",24,"TOT",41,712,14.6,0.551,0.174,0.264,9.3,12.7,11,8.1,2,3.4,11.6,14.2,1,0.5,1.5,0.102,-0.1,0.9,0.7,0.5,2015,2017
196,"Tim Hardaway","SG",22,"NYK",70,1681,12.1,0.512,0.494,0.218,0.8,10.2,5.4,13.5,0.6,0.7,9.5,23.8,0.8,0,0.8,0.023,0.1,-4.2,-4.1,-0.9,2015,2017
197,"James Harden","SG",25,"HOU",81,2981,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,0.265,7.4,1,8.4,7.8,2015,2017
198,"Maurice Harkless","SF",21,"ORL",45,674,8.4,0.449,0.354,0.259,6.3,11.6,8.9,5.4,2.4,1.1,13.3,13.7,-0.3,0.6,0.3,0.021,-3.1,0.2,-2.9,-0.1,2015,2017
199,"Devin Harris","PG",31,"DAL",76,1685,14.8,0.559,0.508,0.309,0.8,8,4.4,20.4,2.3,0.7,12.5,18,2.9,1.3,4.2,0.12,1.9,-0.8,1.2,1.3,2015,2017
200,"Gary Harris","SG",20,"DEN",55,719,4.9,0.395,0.475,0.217,3,6.7,4.8,5.9,2.7,0.8,13.8,16.6,-1.2,0.5,-0.7,-0.046,-4.2,-0.1,-4.3,-0.4,2015,2017
201,"Joe Harris","SG",23,"CLE",51,493,5.6,0.537,0.7,0.125,1.7,7.8,4.8,7.7,0.7,0.3,17.6,14.1,0,0.2,0.2,0.018,-2,-2.5,-4.5,-0.3,2015,2017
202,"Tobias Harris","SF",22,"ORL",68,2369,16.7,0.551,0.252,0.258,3.4,17.3,10.3,8.8,1.5,1.2,9.8,22.5,3,1.8,4.8,0.098,0.4,-0.7,-0.3,1,2015,2017
203,"Udonis Haslem","PF",34,"MIA",62,995,10.6,0.488,0.042,0.268,8.8,22.1,15.6,7.4,1.1,1.1,13.3,14.6,0.4,1,1.4,0.066,-3.3,-0.1,-3.4,-0.4,2015,2017
204,"Spencer Hawes","PF",26,"LAC",73,1274,9.8,0.478,0.424,0.164,2.7,19.7,11.4,10,1,3.4,12.1,17.9,-0.3,1.5,1.2,0.044,-2.9,1,-1.9,0,2015,2017
206,"Gordon Hayward","SF",24,"UTA",76,2618,20.2,0.567,0.304,0.425,2.4,14,8.2,21.7,2.2,0.9,13.8,26.2,5.8,2.9,8.7,0.159,3.3,0.1,3.4,3.6,2015,2017
208,"Gerald Henderson","SG",27,"CHO",80,2315,13.2,0.514,0.161,0.256,1.7,11.6,6.5,15.6,1.1,0.7,10.5,20.7,1.3,2.3,3.6,0.074,-1.2,-0.4,-1.5,0.3,2015,2017
210,"John Henson","C",24,"MIL",67,1228,18,0.578,0,0.396,11.7,17.4,14.5,7.8,1.2,9.3,17.6,18.1,1.3,2.4,3.6,0.142,-1.9,4.6,2.7,1.5,2015,2017
211,"Roy Hibbert","C",28,"IND",76,1926,15.4,0.501,0.003,0.287,9,21.9,15.5,7.4,0.5,5.1,11.8,21.3,1,3.2,4.2,0.105,-3.1,2.1,-1,0.5,2015,2017
213,"Nene Hilario","PF",32,"WAS",67,1693,14.3,0.534,0.008,0.336,5.7,17,11.5,12,2,1,15.2,21.8,0.5,2.5,3,0.086,-1.9,1.3,-0.6,0.6,2015,2017
214,"George Hill","PG",28,"IND",43,1267,21.5,0.579,0.361,0.267,2.2,13.3,7.8,31.4,1.8,0.9,10.3,23.8,3.7,1.6,5.4,0.203,5.4,0.2,5.6,2.4,2015,2017
215,"Jordan Hill","C",27,"LAL",70,1874,16.2,0.494,0.014,0.216,9.9,23.4,16.4,9.5,0.9,2.3,11.1,22.7,1.1,1.1,2.2,0.055,-2,-0.6,-2.6,-0.3,2015,2017
216,"Solomon Hill","SF",23,"IND",82,2381,10.2,0.507,0.328,0.304,3.3,11.2,7.3,11.9,1.4,0.6,13.8,15.9,0.9,2.6,3.5,0.072,-1.1,0.8,-0.3,1,2015,2017
218,"Jrue Holiday","PG",24,"NOP",40,1303,18.8,0.522,0.253,0.142,2.8,9,5.9,34.9,2.5,1.3,13.8,23.1,2.3,1.1,3.4,0.124,3,-0.7,2.3,1.4,2015,2017
219,"Justin Holiday","SG",25,"GSW",59,657,12.1,0.498,0.464,0.191,2,9.7,6,10.1,3,1.4,10.2,18.8,0.2,1,1.3,0.092,-1.4,0.5,-1,0.2,2015,2017
221,"Rodney Hood","SG",22,"UTA",50,1064,12.3,0.529,0.455,0.214,1,11.7,6.4,13.2,1.5,0.9,9.9,19.6,1.3,0.9,2.2,0.098,0.2,-1.3,-1.1,0.2,2015,2017
222,"Al Horford","C",28,"ATL",76,2318,21.4,0.563,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,1.3,2.5,3.8,3.4,2015,2017
223,"Dwight Howard","C",29,"HOU",41,1223,19.2,0.596,0.005,0.641,10,28.9,19.5,7.3,1.1,3.4,17.5,23.3,1.4,2.2,3.6,0.14,-2.4,1.2,-1.2,0.3,2015,2017
226,"Kris Humphries","PF",29,"WAS",64,1345,15.4,0.512,0.016,0.262,10.1,24.4,17.4,6.7,1.3,1.5,8.5,18.3,1.6,2.1,3.8,0.134,-2,0.7,-1.3,0.2,2015,2017
227,"Serge Ibaka","PF",25,"OKC",64,2116,16.6,0.549,0.261,0.14,7,18.1,12.6,4.2,0.7,5.8,10.4,18.9,2.9,2.7,5.6,0.127,-0.5,1.3,0.8,1.5,2015,2017
228,"Andre Iguodala","SF",31,"GSW",77,2069,12.3,0.553,0.427,0.23,2.4,10.8,6.7,14.6,2.1,0.9,13.9,13.3,2.3,2.8,5.1,0.117,0.1,1.5,1.6,1.9,2015,2017
229,"Ersan Ilyasova","PF",27,"MIL",58,1319,16.8,0.554,0.341,0.192,7,17,12,7.4,1.4,1.2,6.9,22.1,2.3,1.7,4,0.146,1.2,-1.4,-0.2,0.6,2015,2017
230,"Joe Ingles","SF",27,"UTA",79,1673,9.6,0.533,0.571,0.113,1.5,10.5,6,16.8,2.3,0.5,20.9,12.9,0.5,1.6,2.2,0.062,-1.1,0.3,-0.8,0.5,2015,2017
231,"Kyrie Irving","PG",22,"CLE",75,2730,21.5,0.583,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,8.4,2,10.4,0.183,4.7,-1.4,3.3,3.7,2015,2017
232,"Jarrett Jack","PG",31,"BRK",80,2241,14.6,0.522,0.179,0.278,1,11.3,6.1,27.3,1.7,0.5,17.2,22.6,1.1,1.4,2.6,0.055,-0.5,-1,-1.5,0.3,2015,2017
233,"Reggie Jackson","PG",24,"TOT",77,2268,17.2,0.511,0.242,0.219,2.6,12.9,7.8,34.8,1.4,0.3,14.6,24.6,3.3,1.7,4.9,0.104,1.9,-1.2,0.8,1.6,2015,2017
235,"LeBron James","SF",30,"CLE",69,2493,25.9,0.577,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,0.199,6.2,1.2,7.4,5.9,2015,2017
236,"Al Jefferson","C",30,"CHO",65,1992,19.7,0.5,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,1.3,3.4,4.7,0.113,-1.3,1.6,0.2,1.1,2015,2017
238,"Richard Jefferson","SF",34,"DAL",74,1244,11.3,0.577,0.478,0.352,2.2,14,8.1,7,1.3,0.7,12.2,15.3,1.4,0.9,2.3,0.088,-0.2,-0.5,-0.7,0.4,2015,2017
239,"John Jenkins","SG",23,"ATL",24,297,15.9,0.629,0.525,0.192,0.8,13.8,7.5,7,1.7,0,6.9,17.8,0.6,0.3,0.9,0.147,1.1,-2.1,-0.9,0.1,2015,2017
240,"Brandon Jennings","PG",25,"DET",41,1173,19.7,0.522,0.389,0.263,1.9,8,4.8,39.9,1.9,0.3,12.9,26.3,2.6,0.7,3.3,0.136,4.3,-2.5,1.8,1.1,2015,2017
241,"Jonas Jerebko","PF",27,"TOT",75,1230,15,0.549,0.369,0.174,8,17.2,12.5,9,1.9,1.1,9.7,16.2,2,1.4,3.5,0.135,0.5,0.4,0.9,0.9,2015,2017
243,"Amir Johnson","PF",27,"TOR",75,1979,15.4,0.603,0.089,0.249,9.3,17.3,13.3,9.4,1.1,2.4,16,15.7,3.5,1.6,5.1,0.124,0.8,1,1.8,1.9,2015,2017
245,"James Johnson","PF",27,"TOR",70,1370,17.9,0.617,0.126,0.252,5.1,16.5,10.8,11.4,2,4.1,15,17.4,2.5,1.6,4.1,0.143,0.6,2,2.7,1.6,2015,2017
246,"Joe Johnson","SG",33,"BRK",80,2791,14.1,0.523,0.329,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,2.6,1.5,4.1,0.07,0.9,-0.7,0.2,1.5,2015,2017
248,"Tyler Johnson","SG",22,"MIA",32,603,12,0.506,0.287,0.281,2.9,13.1,8.1,11.3,2.9,1.3,13.8,17,0.1,0.7,0.8,0.06,-1.8,0.7,-1.1,0.1,2015,2017
249,"Wesley Johnson","SF",27,"LAL",76,2245,11.1,0.509,0.375,0.162,3.2,12.9,7.8,8.6,1.3,1.6,10.5,16.4,1,0.7,1.7,0.037,-0.9,-0.6,-1.5,0.3,2015,2017
250,"Dahntay Jones","SF",34,"LAC",33,123,1.9,0.406,0.19,0.524,0.9,9,5,2.1,1.2,0,3.7,9.8,0,0.1,0,0.013,-5.2,-1.3,-6.4,-0.1,2015,2017
251,"James Jones","SF",34,"CLE",57,669,11.1,0.565,0.871,0.229,1.6,9,5.3,5.4,1,0.9,5.5,15.8,1.2,0.4,1.5,0.11,1.4,-2.8,-1.4,0.1,2015,2017
253,"Terrence Jones","PF",23,"HOU",33,889,18.3,0.567,0.124,0.314,9.7,17.6,13.7,6.9,1,5.2,9.8,18.4,1.7,1.3,3,0.16,-0.6,1.9,1.3,0.7,2015,2017
254,"DeAndre Jordan","C",26,"LAC",82,2820,21,0.638,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,7.4,5.4,12.8,0.217,0.9,3.2,4.1,4.3,2015,2017
256,"Cory Joseph","PG",23,"SAS",79,1444,15.5,0.564,0.107,0.348,3.5,11.4,7.5,19.7,1.6,0.9,12.4,17,2.7,1.8,4.5,0.149,0.2,0.5,0.7,1,2015,2017
258,"Enes Kanter","C",22,"TOT",75,2135,20.3,0.564,0.048,0.252,14.6,20.5,17.6,4.8,0.9,1.1,12.3,24.7,4.3,2.1,6.4,0.145,0.2,-2.3,-2.1,-0.1,2015,2017
260,"Ryan Kelly","PF",23,"LAL",52,1233,8.6,0.473,0.434,0.307,1.1,12.4,6.5,10.9,1.2,1.6,9.5,14,0.4,0.3,0.7,0.027,-2.1,-0.8,-2.8,-0.3,2015,2017
261,"Michael Kidd-Gilchrist","SF",21,"CHO",55,1587,15.1,0.519,0,0.444,7.4,21.9,14.4,8.2,1,1.9,9.9,18.4,1.6,2.2,3.8,0.114,-2.2,1.3,-0.8,0.5,2015,2017
262,"Sean Kilpatrick","SG",25,"MIN",4,72,10,0.506,0.65,0.2,1.5,8.2,4.8,8.5,2.1,0,8.4,14.6,0.1,0,0.1,0.033,-0.7,-3,-3.8,0,2015,2017
265,"Brandon Knight","PG-SG",23,"TOT",63,2035,17.1,0.543,0.361,0.251,1.6,12,6.8,27.4,2.3,0.4,16.1,25.9,2,2.5,4.5,0.106,1.7,-0.7,1.1,1.6,2015,2017
266,"Kyle Korver","SG",33,"ATL",75,2418,14.8,0.699,0.748,0.197,0.7,13.3,7.2,12.1,1.1,1.5,14.1,14.4,5,2.4,7.5,0.148,3.1,0.2,3.3,3.3,2015,2017
267,"Kosta Koufos","C",25,"MEM",81,1348,14.2,0.53,0,0.237,10.3,25.8,18.1,4.3,1.1,3.9,14.9,15.8,0.8,2.5,3.3,0.118,-3.4,1.9,-1.5,0.2,2015,2017
269,"Jeremy Lamb","SG",22,"OKC",47,633,14.9,0.538,0.444,0.22,1.4,16.5,9.1,10.9,1.7,0.7,9,20.5,1,0.7,1.6,0.123,0,-1.6,-1.6,0.1,2015,2017
271,"Shane Larkin","PG",22,"NYK",76,1865,10.9,0.504,0.269,0.181,1.7,9.4,5.4,19.4,2.6,0.4,15.1,13.6,0.8,0.9,1.7,0.045,-1.6,-0.7,-2.4,-0.2,2015,2017
272,"Joffrey Lauvergne","C",23,"DEN",24,268,10.5,0.459,0.18,0.315,10.5,20.9,15.5,7.5,1.5,2.9,17.8,19.9,-0.2,0.3,0.1,0.012,-4.2,0.7,-3.6,-0.1,2015,2017
273,"Zach LaVine","PG",19,"MIN",77,1902,11.3,0.515,0.247,0.261,1.6,11.6,6.4,24,1.4,0.4,20.4,22,-0.7,0,-0.7,-0.018,-1.7,-2.7,-4.5,-1.2,2015,2017
274,"Ty Lawson","PG",27,"DEN",75,2665,18.5,0.526,0.221,0.392,1.6,8.1,4.7,43,1.7,0.3,14.6,20.6,6,1,7,0.126,2.7,-2.1,0.5,1.7,2015,2017
276,"Courtney Lee","SG",29,"MEM",77,2354,11.5,0.555,0.348,0.201,1,7.6,4.3,9.8,1.7,0.4,10,15.2,2.5,2.4,4.8,0.099,0.3,0.2,0.5,1.5,2015,2017
277,"David Lee","PF",31,"GSW",49,904,17.8,0.541,0.006,0.332,10,20.3,15.3,13.7,1.7,2.1,12,19.6,1.6,1.6,3.2,0.168,-0.6,2,1.4,0.8,2015,2017
279,"Alex Len","C",21,"PHO",69,1518,13.5,0.542,0.008,0.295,10.2,22.7,16.4,3.1,1.1,5.3,15.7,13.7,1.2,2.1,3.4,0.107,-3.3,2.3,-1,0.4,2015,2017
280,"Kawhi Leonard","SF",23,"SAS",64,2033,22,0.567,0.234,0.307,4.8,20.6,12.9,13,3.7,1.8,9.4,23,4.2,4.4,8.6,0.204,2.6,3.5,6.1,4.1,2015,2017
281,"Meyers Leonard","C",22,"POR",55,847,14.8,0.631,0.457,0.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,1.6,1.2,2.8,0.158,0.1,0,0.2,0.5,2015,2017
282,"Jon Leuer","PF",25,"MEM",63,824,11.9,0.478,0.106,0.216,7,21.7,14.3,8.8,1.1,0.9,10.5,18.6,0.2,1.2,1.3,0.078,-3.1,0,-3.1,-0.2,2015,2017
283,"Damian Lillard","PG",24,"POR",82,2925,20.7,0.56,0.421,0.293,1.8,11.8,6.9,29,1.7,0.5,12.6,26.9,7.3,3.3,10.6,0.174,5,0,5.1,5.2,2015,2017
284,"Jeremy Lin","PG",26,"LAL",74,1907,15.6,0.539,0.269,0.41,1.4,10.2,5.7,28.6,2.2,1.4,17.7,21.9,1.8,0.8,2.7,0.068,0.5,-1.3,-0.8,0.6,2015,2017
285,"Shaun Livingston","PG",29,"GSW",78,1468,12.9,0.529,0.005,0.23,3.3,10,6.7,24.2,1.6,1,19,15.9,1.5,1.8,3.3,0.107,-2.1,0.4,-1.7,0.1,2015,2017
286,"Brook Lopez","C",26,"BRK",72,2100,22.7,0.558,0.01,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,4.7,2.2,7,0.159,0.5,-0.3,0.2,1.1,2015,2017
287,"Robin Lopez","C",26,"POR",59,1638,16.2,0.574,0.002,0.291,12.7,13.1,12.9,5.1,0.5,3.7,12.9,15.5,3.2,1.9,5.1,0.15,0.1,2,2.1,1.7,2015,2017
288,"Kevin Love","PF",26,"CLE",75,2532,18.8,0.562,0.412,0.337,6.5,26.3,16.6,10.7,1,1.2,10,21.7,5.8,2.9,8.7,0.165,2,-0.1,1.9,2.5,2015,2017
289,"Kyle Lowry","PG",28,"TOR",70,2414,19.3,0.527,0.375,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,5.1,2,7.1,0.141,4.2,-0.6,3.6,3.4,2015,2017
291,"John Lucas III","PG",32,"DET",21,272,13,0.461,0.279,0.048,1.5,5,3.2,36,1.5,0,13.1,19.9,0.2,0.1,0.3,0.058,-1.1,-4.4,-5.5,-0.2,2015,2017
292,"Shelvin Mack","PG",24,"ATL",55,833,13.2,0.489,0.435,0.106,1.1,9.5,5.4,28.6,1.8,0.2,13.8,19.5,0.5,0.8,1.3,0.075,-0.9,-2.2,-3.1,-0.2,2015,2017
293,"Ian Mahinmi","C",28,"IND",61,1146,10.8,0.516,0,0.481,10.2,24,17.2,4.4,1.3,3.1,18.7,12.5,0.1,2,2.1,0.09,-3.8,2.6,-1.2,0.2,2015,2017
300,"Wesley Matthews","SG",28,"POR",60,2024,16.1,0.586,0.592,0.193,2.1,9.5,5.9,10.8,1.9,0.4,9,19.8,4,2.2,6.2,0.147,3.8,0.1,3.9,3,2015,2017
303,"Luc Mbah a Moute","PF",28,"PHI",67,1916,10.6,0.466,0.318,0.256,4.4,14.6,9.3,9.8,2.1,0.9,12.3,18.3,-0.9,2,1.1,0.027,-3.2,0.1,-3.2,-0.6,2015,2017
304,"James Michael McAdoo","PF",22,"GSW",15,137,17.7,0.564,0,0.568,12.2,16.8,14.6,2.1,1.8,4.9,9.8,19.4,0.2,0.3,0.5,0.177,-2.3,0.5,-1.8,0,2015,2017
306,"CJ McCollum","SG",23,"POR",62,973,13.1,0.534,0.381,0.2,1.6,8.3,5,10.3,2.3,0.6,10.8,20.5,0.7,1.1,1.8,0.089,-0.4,-0.3,-0.7,0.3,2015,2017
307,"K.J. McDaniels","SG",21,"TOT",62,1352,10.6,0.494,0.346,0.306,5,11.4,8,9.3,1.6,4.2,17.6,19.3,-0.9,1.5,0.6,0.02,-3.8,1.1,-2.7,-0.2,2015,2017
308,"Doug McDermott","SF",23,"CHI",36,321,6.1,0.48,0.383,0.14,2.1,12.2,7.3,3,0.6,0.2,13,18.3,-0.3,0.2,0,-0.005,-4.8,-3.3,-8,-0.5,2015,2017
310,"JaVale McGee","C",27,"TOT",23,256,14.4,0.567,0,0.418,7.3,18.9,12.9,2,0.4,6.1,16.1,18.9,0.1,0.3,0.4,0.071,-5.3,-0.3,-5.6,-0.2,2015,2017
311,"Ben McLemore","SG",21,"SAC",82,2670,10.4,0.552,0.471,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,1.7,0.8,2.5,0.045,0.4,-1.3,-0.8,0.8,2015,2017
313,"Josh McRoberts","PF",27,"MIA",17,296,10.2,0.613,0.358,0.245,2.9,15.1,9.1,17.5,2.1,0.9,27.3,12.8,0.1,0.3,0.4,0.07,-1.7,0.6,-1.1,0.1,2015,2017
314,"Jodie Meeks","SG",27,"DET",60,1462,14.1,0.548,0.397,0.3,0.9,7.1,3.9,8.8,2.1,0.3,8.6,20.1,2.2,0.9,3.1,0.103,0.7,-1.6,-0.9,0.4,2015,2017
316,"Khris Middleton","SF",23,"MIL",79,2378,15.6,0.563,0.308,0.18,2.3,14.3,8.4,12.7,2.6,0.4,10.8,19.9,3.2,3.5,6.7,0.135,0.9,0.5,1.4,2,2015,2017
317,"C.J. Miles","SG",27,"IND",70,1841,14.1,0.525,0.539,0.195,1.1,11.7,6.4,7.1,1.7,1.1,7.5,23.9,1.3,2.3,3.6,0.093,1,-1.3,-0.3,0.8,2015,2017
319,"Darius Miller","SF",24,"NOP",5,43,-5.1,0.143,0.143,0,0,2.6,1.3,6.1,1.2,0,12.5,8.5,-0.1,0,-0.1,-0.122,-8.4,-1.5,-9.9,-0.1,2015,2017
320,"Mike Miller","SF",34,"CLE",52,701,4.6,0.471,0.86,0.035,0.7,14,7.4,9,1,0.5,16.6,8.9,-0.1,0.5,0.4,0.028,-2.6,-0.3,-3,-0.2,2015,2017
322,"Patty Mills","PG",26,"SAS",51,801,13,0.496,0.542,0.119,3,7.5,5.3,16.9,1.8,0.2,9,22.1,0.6,0.9,1.4,0.087,1,-1.8,-0.7,0.3,2015,2017
323,"Elijah Millsap","SG",27,"UTA",47,924,7.9,0.45,0.378,0.361,3.5,15.2,9.4,9.7,3.2,1.4,19.5,17,-1,1.4,0.4,0.02,-3.5,1.9,-1.6,0.1,2015,2017
324,"Paul Millsap","PF",29,"ATL",73,2390,20,0.565,0.232,0.362,6.9,20,13.6,15.4,2.8,2.4,13.3,23.8,4,4.3,8.3,0.166,1.6,2.6,4.2,3.7,2015,2017
325,"Nikola Mirotic","PF",23,"CHI",82,1654,17.9,0.556,0.502,0.455,4.3,21.8,13.3,9.7,1.7,2.4,10.6,22.8,3,2.7,5.7,0.165,1.2,0,1.2,1.3,2015,2017
327,"Greg Monroe","PF",24,"DET",69,2137,21.2,0.549,0,0.394,11.2,25.1,17.9,11.7,1.9,1.3,13,23.9,4,2.8,6.8,0.153,0.6,1.3,1.9,2.1,2015,2017
328,"E'Twaun Moore","SG",25,"CHI",56,504,10.3,0.504,0.273,0.144,2.7,7.1,5,10.4,2.1,0.9,8.7,14.4,0.3,0.5,0.8,0.08,-1.8,-0.6,-2.5,-0.1,2015,2017
329,"Eric Moreland","PF",23,"SAC",3,2,40.8,1,0,0,0,54.8,28.4,0,0,0,0,22,0,0,0,0.431,5.8,-10.2,-4.5,0,2015,2017
331,"Marcus Morris","PF",25,"PHO",81,2045,13.7,0.52,0.41,0.148,3.9,16.9,10.3,10.2,1.5,0.6,8.2,19,2.2,1.8,4,0.093,0.2,-0.6,-0.4,0.8,2015,2017
332,"Markieff Morris","PF",25,"PHO",82,2581,15.8,0.523,0.163,0.211,4.6,17,10.7,12.4,2,1.2,12.4,23.3,1.8,2.7,4.6,0.085,-0.7,0.5,-0.2,1.2,2015,2017
333,"Anthony Morrow","SG",29,"OKC",74,1806,14.8,0.604,0.528,0.145,2.4,9.1,5.8,5.2,1.5,0.5,5.5,16.5,4.4,1.2,5.7,0.151,2.4,-1.8,0.6,1.2,2015,2017
334,"Donatas Motiejunas","PF",24,"HOU",71,2037,14.4,0.553,0.19,0.237,7.4,15.4,11.4,10.8,1.4,1.3,13.7,19.1,2.4,2.3,4.7,0.11,-0.6,0.5,-0.1,1,2015,2017
335,"Timofey Mozgov","C",28,"TOT",81,2045,16.6,0.594,0.011,0.382,11,21.4,16.1,4.3,0.8,3.7,14.9,16.9,3.5,2.2,5.7,0.133,-1.2,0.8,-0.4,0.8,2015,2017
336,"Shabazz Muhammad","SG",22,"MIN",38,866,19.9,0.556,0.128,0.365,8.1,12.4,10.2,9.6,1.1,0.6,7.1,25.3,2.1,-0.1,2,0.11,2,-3.8,-1.8,0,2015,2017
338,"Mike Muscala","PF",23,"ATL",40,502,18,0.608,0.146,0.166,12.2,14.8,13.5,8,1.6,3.2,11.5,16.7,1.2,0.7,1.9,0.179,0.8,0.9,1.7,0.5,2015,2017
339,"Shabazz Napier","PG",23,"MIA",51,1012,9.3,0.517,0.518,0.246,2.1,11.2,6.7,19.9,2.1,0.3,24.3,15.5,-0.3,0.8,0.5,0.024,-2,-0.6,-2.6,-0.2,2015,2017
340,"Gary Neal","SG",30,"TOT",54,1193,11.1,0.483,0.326,0.268,1.3,11,6,14.5,1,0.1,10.4,23.8,-0.2,0.8,0.6,0.023,-1.7,-2.6,-4.3,-0.7,2015,2017
341,"Jameer Nelson","PG",32,"TOT",63,1407,12.1,0.503,0.512,0.071,2.5,8.9,5.7,27.8,1.7,0.3,17.3,19.5,0.6,0.8,1.4,0.047,0.6,-1.6,-1,0.4,2015,2017
342,"Andrew Nicholson","PF",25,"ORL",40,492,10.3,0.483,0.216,0.132,3.8,15.2,9.4,7.3,0.6,2,10.7,20.8,-0.2,0.3,0.1,0.007,-4,-2.1,-6.2,-0.5,2015,2017
343,"Joakim Noah","C",29,"CHI",67,2049,15.3,0.482,0.005,0.407,11.9,22.1,17.1,23,1.2,2.6,19.6,13.7,2.4,3.1,5.6,0.13,-0.2,3.6,3.4,2.8,2015,2017
344,"Nerlens Noel","C",20,"PHI",75,2311,15,0.493,0,0.352,8.3,21,14.3,9.8,2.9,5,16.2,17,-0.2,4.2,4,0.083,-3.7,4.5,0.8,1.6,2015,2017
345,"Lucas Nogueira","C",22,"TOR",6,23,5.2,0.307,0,0.5,10,45.1,27.6,6.2,4.5,0,17,23.1,-0.1,0.1,0,-0.071,-11,0.7,-10.3,0,2015,2017
346,"Steve Novak","SF-PF",31,"TOT",35,197,8.6,0.554,0.857,0.036,1.1,11.4,6.3,8.6,0,0.8,8.1,14.1,0.2,0.1,0.3,0.075,-0.2,-3.2,-3.4,-0.1,2015,2017
347,"Dirk Nowitzki","PF",36,"DAL",77,2282,19.2,0.56,0.258,0.272,2.1,19.9,11,10.4,0.9,1.2,6.5,24.9,5.2,2,7.2,0.152,1.7,-1,0.7,1.5,2015,2017
