"Rk","Pick","Team","Player","Draft"
"51","51","UTA","Robert Whaley",2005
"52","52","DEN","Axel Hervelle",2005
"53","53","BOS","Orien Greene",2005
"54","54","NYK","Dijon Thompson",2005
"55","55","SEA","Lawrence Roberts",2005
"56","56","DET","Amir Johnson",2005
"57","57","PHO","Marcin Gortat",2005
"58","58","TOR","Uros Slokar",2005
"59","59","ATL","Cenk Akyol",2005
"60","60","DET","Alex Acker",2005
"1","1","TOR","Andrea Bargnani",2006
"2","2","CHI","LaMarcus Aldridge",2006
"3","3","CHA","Adam Morrison",2006
"4","4","POR","Tyrus Thomas",2006
"5","5","ATL","Shelden Williams",2006
"6","6","MIN","Brandon Roy",2006
"7","7","BOS","Randy Foye",2006
"8","8","HOU","Rudy Gay",2006
"9","9","GSW","Patrick O'Bryant",2006
"10","10","SEA","Mouhamed Sene",2006
"11","11","ORL","J.J. Redick",2006
"12","12","NOK","Hilton Armstrong",2006
"13","13","PHI","Thabo Sefolosha",2006
"14","14","UTA","Ronnie Brewer",2006
"15","15","NOK","Cedric Simmons",2006
"16","16","CHI","Rodney Carney",2006
"17","17","IND","Shawne Williams",2006
"18","18","WAS","Oleksiy Pecherov",2006
"19","19","SAC","Quincy Douby",2006
"20","20","NYK","Renaldo Balkman",2006
"21","21","PHO","Rajon Rondo",2006
"22","22","NJN","Marcus Williams",2006
"23","23","NJN","Josh Boone",2006
"24","24","MEM","Kyle Lowry",2006
"25","25","CLE","Shannon Brown",2006
"26","26","LAL","Jordan Farmar",2006
"27","27","PHO","Sergio Rodriguez",2006
"28","28","DAL","Maurice Ager",2006
"29","29","NYK","Mardy Collins",2006
"30","30","POR","Joel Freeland",2006
"31","31","POR","James White",2006
"32","32","HOU","Steve Novak",2006
"33","33","ATL","Solomon Jones",2006
"34","34","LAC","Paul Davis",2006
"35","35","TOR","P.J. Tucker",2006
"36","36","MIN","Craig Smith",2006
"37","37","MIN","Bobby Jones",2006
"38","38","GSW","Kosta Perovic",2006
"39","39","MIL","David Noel",2006
"40","40","SEA","Denham Brown",2006
"41","41","ORL","James Augustine",2006
"42","42","CLE","Daniel Gibson",2006
"43","43","NOK","Marcus Vinicius",2006
"44","44","ORL","Lior Eliyahu",2006
"45","45","IND","Alexander Johnson",2006
"46","46","UTA","Dee Brown",2006
"47","47","UTA","Paul Millsap",2006
"48","48","WAS","Vladimir Veremeenko",2006
"49","49","DEN","Leon Powe",2006
"50","50","CHA","Ryan Hollins",2006
"51","51","LAL","Cheikh Samb",2006
"52","52","LAC","Guillermo Diaz",2006
"53","53","SEA","Yotam Halperin",2006
"54","54","NJN","Hassan Adams",2006
"55","55","CLE","Ejike Ugboaja",2006
"56","56","TOR","Edin Bavcic",2006
"57","57","MIN","Loukas Mavrokefalidis",2006
"58","58","DAL","J.R. Pinnock",2006
"59","59","SAS","Damir Markota",2006
"60","60","DET","Will Blalock",2006
"1","1","POR","Greg Oden",2007
"2","2","SEA","Kevin Durant",2007
"3","3","ATL","Al Horford",2007
"4","4","MEM","Mike Conley",2007
"5","5","BOS","Jeff Green",2007
"6","6","MIL","Yi Jianlian",2007
"7","7","MIN","Corey Brewer",2007
"8","8","CHA","Brandan Wright",2007
"9","9","CHI","Joakim Noah",2007
"10","10","SAC","Spencer Hawes",2007
"11","11","ATL","Acie Law",2007
"12","12","PHI","Thaddeus Young",2007
"13","13","NOK","Julian Wright",2007
"14","14","LAC","Al Thornton",2007
"15","15","DET","Rodney Stuckey",2007
"16","16","WAS","Nick Young",2007
"17","17","NJN","Sean Williams",2007
"18","18","GSW","Marco Belinelli",2007
"19","19","LAL","Javaris Crittenton",2007
"20","20","MIA","Jason Smith",2007
"21","21","PHI","Daequan Cook",2007
