"Player","Depth","Team","teamAbbr","total_MP","G","GS","GSpct","MP_per_game","WS","BPM","Pick","imputed"
"N. Batum",1,"Charlotte","CHO",7046,211,211,1,33.39336492891,4.42970479704797,1.53417541867726,0,0
"M. Kidd-Gilchrist",1,"Charlotte","CHO",4404,162,162,1,27.1851851851852,4.46575840145322,-0.714623069936421,0,0
"Marvin Williams",1,"Charlotte","CHO",6639,235,235,1,28.2510638297872,5.98605211628257,1.53363458352161,0,0
"C. Zeller",1,"Charlotte","CHO",4126,168,118,0.702380952380952,24.5595238095238,5.33870576829859,1.41429956374212,0,0
"T. Parker",2,"Charlotte","CHO",4638,190,156,0.821052631578947,24.4105263157895,3.82587322121604,-1.93059508408797,0,0
"J. Lamb",2,"Charlotte","CHO",4337,208,23,0.110576923076923,20.8509615384615,3.69778648835601,-0.181300438090846,0,0
"F. Kaminsky",2,"Charlotte","CHO",5497,235,23,0.0978723404255319,23.3914893617021,3.04467891577224,-1.20649445151901,0,0
"B. Biyombo",2,"Charlotte","CHO",5096,245,74,0.302040816326531,20.8,3.96436420722135,-1.27892464678179,0,0
"Miles Bridges",2,"Charlotte","CHO",1115.20427360873,63.0570765110237,13.1986695365441,0.209313058372389,17.6856323717096,0.951633851675045,-2.85632905779365,12,1
"M. Monk",3,"Charlotte","CHO",854,63,0,0,13.5555555555556,0,-4.4,11,0
"D. Bacon",3,"Charlotte","CHO",713,53,6,0.113207547169811,13.4528301886792,-0.1,-5.7,40,0
"W. Hernangomez",3,"Charlotte","CHO",1819,120,23,0.191666666666667,15.1583333333333,2.96459593183068,0.244914788345245,0,0
"D. Graham",3,"Charlotte","CHO",418.167041951919,39.0003310456368,0.699836254093821,0.0179443670176773,10.7221408316405,0.349023305226413,-3.6727321682814,34,1
"G. Hill",1,"Cleveland","CLE",5880,190,182,0.957894736842105,30.9473684210526,5.19673469387755,1.40428571428571,0,0
"J.R. Smith",1,"Cleveland","CLE",5793,198,173,0.873737373737374,29.2575757575758,2.94876575176938,-0.394838598308303,0,0
"R. Hood",1,"Cleveland","CLE",5750,198,157,0.792929292929293,29.040404040404,4.13060869565217,-0.5852,0,0
"K. Love",1,"Cleveland","CLE",5960,196,196,1,30.4081632653061,7.25409395973154,1.62991610738255,0,0
"T. Thompson",1,"Cleveland","CLE",5677,213,134,0.629107981220657,26.6525821596244,6.95316188127532,0.744671481416241,0,0
"J. Clarkson",2,"Cleveland","CLE",6837,242,100,0.413223140495868,28.2520661157025,2.0329969284774,-1.99384232850666,0,0
"K. Korver",2,"Cleveland","CLE",5728,220,106,0.481818181818182,26.0363636363636,3.78523044692737,-0.117562849162011,0,0
"L. Nance Jr.",2,"Cleveland","CLE",4129,192,56,0.291666666666667,21.5052083333333,3.89295228868976,1.36999273431824,0,0
"A. Zizic",2,"Cleveland","CLE",214,32,2,0.0625,6.6875,1,0.1,23,0
"C. Sexton",2,"Cleveland","CLE",1410.3823024387,67.5705201682717,25.1297414586142,0.37190392194752,20.872745968603,1.36052916722837,-2.38308215854038,8,1
"I. Taylor",3,"Cleveland","CLE",1219,71,9,0.126760563380282,17.169014084507,0.574405250205086,-5.44692370795734,0,0
"D. Nwaba",3,"Cleveland","CLE",2043,90,23,0.255555555555556,22.7,2.08908467939305,-1.6582966226138,0,0
"C. Osman",3,"Cleveland","CLE",672,61,12,0.19672131147541,11.016393442623,0.9,-2.9,0,0
"S. Dekker",3,"Cleveland","CLE",2308,153,3,0.0196078431372549,15.0849673202614,2.36503466204506,-1.79952339688042,0,0
"C. Frye",4,"Cleveland","CLE",3293,197,48,0.243654822335025,16.7157360406091,2.98059520194352,-0.431308836926814,0,0
"D. Smith Jr.",1,"Dallas","DAL",2049,69,69,1,29.695652173913,-0.7,-2.3,0,0
"W. Matthews",1,"Dallas","DAL",7270,214,213,0.995327102803738,33.9719626168224,3.17165061898212,0.245474552957359,0,0
"H. Barnes",1,"Dallas","DAL",7479,222,215,0.968468468468468,33.6891891891892,4.40016044925792,-1.50628426260195,0,0
"D. Jordan",1,"Dallas","DAL",7592,235,235,1,32.3063829787234,10.9310590094837,3.22189146469968,0,0
"L. Doncic",1,"Dallas","DAL",1890.12778997703,72.1339952708819,48.5692128276557,0.6733193225367,26.2030098690515,2.78325464938665,-1.11317118463925,3,1
"J. Barea",2,"Dallas","DAL",4041,178,32,0.179775280898876,22.7022471910112,2.71215045780747,-0.550754763672358,0,0
"D. Harris",2,"Dallas","DAL",3707,200,1,0.005,18.535,2.41203129214999,-0.736660372268681,0,0
"D. Finney-Smith",2,"Dallas","DAL",2090,102,48,0.470588235294118,20.4901960784314,1.12133971291866,-1.7644019138756,0,0
"D. Nowitzki",2,"Dallas","DAL",5688,206,206,1,27.6116504854369,5.05541490857946,0.148804500703235,0,0
"M. Kleber",2,"Dallas","DAL",1206,72,36,0.5,16.75,2.8,0.2,0,0
"D. Powell",3,"Dallas","DAL",3997,225,30,0.133333333333333,17.7644444444444,5.0643482611959,1.52189141856392,0,0
"S. Mejri",3,"Dallas","DAL",2031,168,18,0.107142857142857,12.0892857142857,2.56001969473166,1.41683899556869,0,0
"J. Brunson",3,"Dallas","DAL",429.200819651173,39.0365047218708,0.772164077844468,0.0197805639451078,10.9948578313854,0.334843044917059,-3.67508510410432,33,1
"R. Broekhoff",3,"Dallas","DAL",185.82740740784,21.9731095205496,0.546647591242658,0.0248780260586889,8.45703732710435,0.247544479905499,-5.20835336835175,60,1
"R. Spalding",4,"Dallas","DAL",232.887403445014,25.8539398247465,0.466737463990217,0.018052856437125,9.00781099606731,0.220773436493893,-4.71762134585636,56,1
"K. Antetokounmpo",5,"Dallas","DAL",185.82740740784,21.9731095205496,0.546647591242658,0.0248780260586889,8.45703732710435,0.247544479905499,-5.20835336835175,60,1
"J. Murray",1,"Denver","DEN",4329,163,90,0.552147239263804,26.558282208589,3.78856548856549,-1.17796257796258,7,0
"G. Harris",1,"Denver","DEN",6525,200,197,0.985,32.625,4.69351724137931,0.802206896551724,0,0
"W. Barton",1,"Denver","DEN",6741,223,60,0.269058295964126,30.2286995515695,4.80329327992879,0.438985313751669,0,0
"P. Millsap",1,"Denver","DEN",6133,188,185,0.984042553191489,32.6223404255319,7.2700798956465,3.44942116419371,0,0
"N. Jokic",1,"Denver","DEN",6214,228,187,0.820175438596491,27.2543859649123,9.25648535564854,6.88492114579981,0,0
"I. Thomas",2,"Denver","DEN",6075,190,170,0.894736842105263,31.9736842105263,9.53608230452675,2.85139094650206,0,0
"Malik Beasley",2,"Denver","DEN",748,84,1,0.0119047619047619,8.90476190476191,0.277941176470588,-4.83529411764706,0,0
"T. Craig",2,"Denver","DEN",629,39,5,0.128205128205128,16.1282051282051,0.9,-2.5,0,0
"T. Lyles",2,"Denver","DEN",3931,224,39,0.174107142857143,17.5491071428571,2.42429407275502,-2.15120834393284,0,0
"Mason Plumlee",2,"Denver","DEN",5671,237,172,0.725738396624473,23.9282700421941,5.42775524598836,2.50837594780462,0,0
"Monte Morris",3,"Denver","DEN",25,3,0,0,8.33333333333333,0.2,2,0,0
