"Player","Depth","Team","teamAbbr","total_MP","G","GS","GSpct","MP_per_game","WS","BPM","Pick","imputed"
"J. Ingles",1,"Utah","UTA",5791,245,109,0.444897959183673,23.6367346938775,5.57884648592644,2.32089449145225,0,0
"D. Favors",1,"Utah","UTA",5322,189,175,0.925925925925926,28.1587301587302,6.48355881247651,2.07602405110861,0,0
"R. Gobert",1,"Utah","UTA",6492,198,197,0.994949494949495,32.7878787878788,10.2146642020949,4.75545286506469,0,0
"D. Exum",2,"Utah","UTA",1463,80,26,0.325,18.2875,1.11968557758031,-2.29118250170882,0,0
"A. Burks",2,"Utah","UTA",2509,137,4,0.0291970802919708,18.3138686131387,1.48664806695895,-3.06907134316461,0,0
"R. O'Neale",2,"Utah","UTA",1150,69,4,0.0579710144927536,16.6666666666667,2.4,-0.6,0,0
"J. Crowder",2,"Utah","UTA",6733,225,192,0.853333333333333,29.9244444444444,5.63298678152384,0.986989454923511,0,0
"E. Udoh",2,"Utah","UTA",810,63,3,0.0476190476190476,12.8571428571429,3.2,5.7,0,0
"R. Neto",3,"Utah","UTA",2343,162,53,0.327160493827161,14.462962962963,1.44626547161758,-2.19594536918481,0,0
"T. Sefolosha",3,"Utah","UTA",4160,175,59,0.337142857142857,23.7714285714286,3.67149038461538,1.29336538461538,0,0
"G. Niang",3,"Utah","UTA",125,32,0,0,3.90625,-0.2232,-9.952,50,0
"T. Bradley",3,"Utah","UTA",29,9,0,0,3.22222222222222,0,-9.6,28,0
"G. Allen",3,"Utah","UTA",687.249931094566,49.9511185735572,3.6494343233438,0.0730601121168029,13.7584492744148,0.857486999976464,-2.80054198645254,21,1
"T. Cavanaugh",4,"Utah","UTA",518,39,1,0.0256410256410256,13.2820512820513,1.2,-1,0,0
"J. Wall",1,"Washington","WAS",7030,196,196,1,35.8673469387755,6.34887624466572,3.22210526315789,0,0
"B. Beal",1,"Washington","WAS",7369,214,194,0.906542056074766,34.4345794392523,6.50928212783281,1.34901614873117,0,0
"O. Porter Jr.",1,"Washington","WAS",7313,232,230,0.991379310344828,31.5215517241379,7.78501299056475,3.1466566388623,0,0
"Markieff Morris",1,"Washington","WAS",5971,213,194,0.910798122065728,28.0328638497653,2.85417852955954,-1.32627700552671,0,0
"D. Howard",1,"Washington","WAS",6942,226,226,1,30.716814159292,7.20946413137424,0.819187554019015,0,0
"T. Satoransky",2,"Washington","WAS",2362,130,33,0.253846153846154,18.1692307692308,3.6606265876376,-0.178492802709568,0,0
"A. Rivers",2,"Washington","WAS",5575,202,95,0.47029702970297,27.5990099009901,2.30554260089686,-1.49928251121076,0,0
"K. Oubre Jr.",2,"Washington","WAS",4507,223,25,0.112107623318386,20.2107623318386,2.60330596849345,-2.27656978034169,0,0
"Jeff Green",2,"Washington","WAS",5615,227,65,0.286343612334802,24.7356828193833,2.70477292965272,-2.55738201246661,0,0
"I. Mahinmi",2,"Washington","WAS",3516,179,71,0.396648044692737,19.6424581005587,4.13970420932878,1.13791240045506,0,0
"J. Meeks",3,"Washington","WAS",1900,116,10,0.0862068965517241,16.3793103448276,1.60742105263158,-2.441,0,0
"Jason Smith",3,"Washington","WAS",2534,183,7,0.0382513661202186,13.8469945355191,1.80828729281768,-2.43003157063931,0,0
"T. Bryant",3,"Washington","WAS",72,15,0,0,4.8,0.1,-4.2,42,0
"T. Brown Jr.",3,"Washington","WAS",937.107794818419,59.3734446702176,7.45608271223918,0.125579419446742,15.7832815667588,0.966504780647304,-2.87634204349804,15,1
"J. McRae",4,"Washington","WAS",579,59,5,0.0847457627118644,9.8135593220339,0.267357512953368,-5.75906735751295,0,0
