Player,Depth,Team,teamAbbr
E. Ilyasova,2,Milwaukee,MIL
J. Henson,2,Milwaukee,MIL
M. Dellavedova,3,Milwaukee,MIL
S. Brown,3,Milwaukee,MIL
D. Wilson,3,Milwaukee,MIL
T. Maker,3,Milwaukee,MIL
J. Teague,1,Minnesota,MIN
J. Butler,1,Minnesota,MIN
A. Wiggins,1,Minnesota,MIN
T. Gibson,1,Minnesota,MIN
K. Towns,1,Minnesota,MIN
T. Jones,2,Minnesota,MIN
J. Okogie,2,Minnesota,MIN
L. Deng,2,Minnesota,MIN
A. Tolliver,2,Minnesota,MIN
G. Dieng,2,Minnesota,MIN
D. Rose,3,Minnesota,MIN
J. Nunnally,3,Minnesota,MIN
K. Bates-Diop,3,Minnesota,MIN
J. Patton,3,Minnesota,MIN
C. Williams,4,Minnesota,MIN
J. Holiday,1,New Orleans,NOP
E. Moore,1,New Orleans,NOP
S. Hill,1,New Orleans,NOP
J. Randle,1,New Orleans,NOP
A. Davis,1,New Orleans,NOP
E. Payton,2,New Orleans,NOP
I. Clark,2,New Orleans,NOP
D. Miller,2,New Orleans,NOP
N. Mirotic,2,New Orleans,NOP
J. Okafor,2,New Orleans,NOP
F. Jackson,3,New Orleans,NOP
T. Bluiett,3,New Orleans,NOP
C. Diallo,3,New Orleans,NOP
A. Ajinca,3,New Orleans,NOP
T. Burke,1,New York,NYK
C. Lee,1,New York,NYK
T. Hardaway Jr.,1,New York,NYK
M. Hezonja,1,New York,NYK
E. Kanter,1,New York,NYK
E. Mudiay,2,New York,NYK
F. Ntilikina,2,New York,NYK
K. Knox,2,New York,NYK
L. Thomas,2,New York,NYK
M. Robinson,2,New York,NYK
R. Baker,3,New York,NYK
D. Dotson,3,New York,NYK
N. Vonleh,3,New York,NYK
L. Kornet,3,New York,NYK
K. Porzingis,4,New York,NYK
J. Noah,4,New York,NYK
I. Hicks,5,New York,NYK
R. Westbrook,1,Oklahoma City,OKC
A. Roberson,1,Oklahoma City,OKC
P. George,1,Oklahoma City,OKC
J. Grant,1,Oklahoma City,OKC
S. Adams,1,Oklahoma City,OKC
D. Schroder,2,Oklahoma City,OKC
A. Abrines,2,Oklahoma City,OKC
T. Ferguson,2,Oklahoma City,OKC
P. Patterson,2,Oklahoma City,OKC
N. Noel,2,Oklahoma City,OKC
R. Felton,3,Oklahoma City,OKC
T. Luwawu-Cabarrot,3,Oklahoma City,OKC
A. Nader,3,Oklahoma City,OKC
T. Davis,3,Oklahoma City,OKC
H. Diallo,4,Oklahoma City,OKC
D. Burton,4,Oklahoma City,OKC
D. Augustin,1,Orlando,ORL
E. Fournier,1,Orlando,ORL
J. Simmons,1,Orlando,ORL
A. Gordon,1,Orlando,ORL
N. Vucevic,1,Orlando,ORL
J. Grant,2,Orlando,ORL
T. Ross,2,Orlando,ORL
M. Frazier Jr.,2,Orlando,ORL
J. Isaac,2,Orlando,ORL
M. Bamba,2,Orlando,ORL
W. Iwundu,3,Orlando,ORL
J. Martin,3,Orlando,ORL
T. Mozgov,3,Orlando,ORL
K. Birch,4,Orlando,ORL
B. Simmons,1,Philadelphia,PHI
J. Redick,1,Philadelphia,PHI
R. Covington,1,Philadelphia,PHI
D. Saric,1,Philadelphia,PHI
J. Embiid,1,Philadelphia,PHI
M. Fultz,2,Philadelphia,PHI
T. McConnell,2,Philadelphia,PHI
W. Chandler,2,Philadelphia,PHI
M. Muscala,2,Philadelphia,PHI
A. Johnson,2,Philadelphia,PHI
J. Bayless,3,Philadelphia,PHI
Z. Smith,3,Philadelphia,PHI
F. Korkmaz,3,Philadelphia,PHI
L. Shamet,4,Philadelphia,PHI
S. Milton,4,Philadelphia,PHI
D. Jackson,5,Philadelphia,PHI
D. Booker,1,Phoenix,PHO
T. Ariza,1,Phoenix,PHO
R. Anderson,1,Phoenix,PHO
D. Ayton,1,Phoenix,PHO
E. Okobo,2,Phoenix,PHO
T. Daniels,2,Phoenix,PHO
J. Jackson,2,Phoenix,PHO
D. Bender,2,Phoenix,PHO
R. Holmes,2,Phoenix,PHO
D. Melton,3,Phoenix,PHO
D. Reed,3,Phoenix,PHO
T. Warren,3,Phoenix,PHO
D. Arthur,3,Phoenix,PHO
T. Chandler,3,Phoenix,PHO
I. Canaan,4,Phoenix,PHO
M. Bridges,4,Phoenix,PHO
D. Lillard,1,Portland,POR
C. McCollum,1,Portland,POR
M. Harkless,1,Portland,POR
A. Aminu,1,Portland,POR
J. Nurkic,1,Portland,POR
S. Curry,2,Portland,POR
N. Stauskas,2,Portland,POR
E. Turner,2,Portland,POR
M. Leonard,2,Portland,POR
Z. Collins,2,Portland,POR
W. Baldwin IV,3,Portland,POR
G. Trent Jr.,3,Portland,POR
J. Layman,3,Portland,POR
C. Swanigan,3,Portland,POR
A. Simons,4,Portland,POR
D. Fox,1,Sacramento,SAC
B. Hield,1,Sacramento,SAC
B. Bogdanovic,1,Sacramento,SAC
Z. Randolph,1,Sacramento,SAC
W. Cauley-Stein,1,Sacramento,SAC
Y. Ferrell,2,Sacramento,SAC
I. Shumpert,2,Sacramento,SAC
J. Jackson,2,Sacramento,SAC
M. Bagley III,2,Sacramento,SAC
H. Giles,2,Sacramento,SAC
F. Mason III,3,Sacramento,SAC
B. McLemore,3,Sacramento,SAC
N. Bjelica,3,Sacramento,SAC
K. Koufos,3,Sacramento,SAC
J. Artis,4,Sacramento,SAC
S. Labissiere,4,Sacramento,SAC
D. Murray,1,San Antonio,SAS
D. DeRozan,1,San Antonio,SAS
